"False Hypotheses","Obs","Correlation","Type","SD","CQ","SH.Ln.LB","SH.Sn.LB","Simes"
0,20,0.3,"Unif",0,0,0,0,0
0,50,0.3,"Unif",0,0.333333333333333,0,0,0
0,100,0.3,"Unif",0,0,0,0,0.333333333333333
0,20,0.45,"Unif",0,0,0,0.333333333333333,0.333333333333333
0,50,0.45,"Unif",0,0,0,0,0
0,100,0.45,"Unif",0,0,0,0,0
0,20,0.6,"Unif",0,0,0,0,0
0,50,0.6,"Unif",0,0,0,0,0
0,100,0.6,"Unif",0,0,0,0,0
0,20,0.75,"Unif",0,0,0,0,0
0,50,0.75,"Unif",0,0,0,0,0
0,100,0.75,"Unif",0,0,0,0,0
0,20,0.95,"Unif",0,0,0,0,0
0,50,0.95,"Unif",0,0.333333333333333,0,0.333333333333333,0
0,100,0.95,"Unif",0,0,0,0,0
